timestamp_utc,os_family,thermal_pressure_level,thermal_pressure_code,cpu_die_temp_c,cpu_total_active_pct,cpu_ecluster_active_pct,cpu_pcluster_active_pct,cpu_ecluster_freq_mhz,cpu_pcluster_freq_mhz,gpu_active_pct,cpu_power_mw,gpu_power_mw,combined_power_mw,loadavg_1m,loadavg_5m,loadavg_15m,ram_used_gb,mem_pressure_pct,mem_compressed_gb
2026-07-03T08:14:20.956642+00:00,macos,Nominal,0,nan,42.8507,56.0319,29.669500000000003,1865.98,3125.28,15.955799999999998,995.535,122.997,1118.53,2.1357421875,2.23291015625,2.4345703125,6.44488525390625,73.27051162719727,4.6112518310546875
2026-07-03T08:14:25.974484+00:00,macos,Nominal,0,37.27455520629883,55.296350000000004,61.8841,48.708600000000004,2071.94,3335.22,17.8026,2430.43,120.026,2550.46,2.12451171875,2.22900390625,2.431640625,6.4880828857421875,73.43664169311523,4.5995635986328125
2026-07-03T08:14:30.990458+00:00,macos,Nominal,0,37.29631805419922,30.22645,39.1514,21.301499999999997,1401.97,3544.93,3.801500000000002,753.944,13.1606,767.105,2.0341796875,2.20849609375,2.4228515625,6.5030670166015625,73.53658676147461,4.5990447998046875
2026-07-03T08:14:36.002068+00:00,macos,Nominal,0,37.06640625,34.796749999999996,44.557199999999995,25.0363,1547.08,3342.38,6.4925000000000015,845.851,16.343,862.194,1.87109375,2.17138671875,2.408203125,6.2766265869140625,72.15604782104492,4.5988006591796875
2026-07-03T08:14:41.019841+00:00,macos,Nominal,0,36.87946319580078,33.8818,45.0295,22.7341,1572.24,3649.35,6.1467000000000045,828.374,28.3103,856.684,1.72119140625,2.13525390625,2.39404296875,6.5270233154296875,73.71444702148438,4.5987548828125
2026-07-03T08:14:46.035986+00:00,macos,Nominal,0,37.29352569580078,27.168950000000002,35.2862,19.051700000000004,1397.63,3943.72,2.4791000000000007,754.026,10.3728,764.399,1.9033203125,2.166015625,2.4033203125,6.53900146484375,73.76165390014648,4.5987091064453125
2026-07-03T08:14:51.052079+00:00,macos,Nominal,0,37.10323715209961,35.568,45.650999999999996,25.485000000000003,1692.64,3178.82,8.936100000000003,860.984,45.4513,906.435,1.91064453125,2.1630859375,2.40087890625,6.4024200439453125,73.02818298339844,4.611602783203125
2026-07-03T08:14:56.064518+00:00,macos,Nominal,0,37.06808090209961,46.856049999999996,57.358200000000004,36.353899999999996,1983.56,3231.83,16.951300000000003,1258.81,82.3258,1341.13,2.07763671875,2.193359375,2.41015625,6.3908843994140625,72.90830612182617,4.6115875244140625
2026-07-03T08:15:01.082960+00:00,macos,Nominal,0,37.19140625,39.3878,55.4473,23.328300000000002,1674.24,3650.94,14.903999999999995,937.377,114.63,1052.01,2.0712890625,2.18994140625,2.40771484375,6.2516937255859375,72.41811752319336,4.67279052734375
2026-07-03T08:15:06.100567+00:00,macos,Nominal,0,nan,44.0819,49.5462,38.617599999999996,1837.34,3531.46,11.769700000000006,1959.01,65.0276,2024.04,1.9853515625,2.169921875,2.3994140625,6.4443359375,73.64358901977539,4.6727447509765625
2026-07-03T08:15:11.114553+00:00,macos,Nominal,0,37.21819305419922,25.22545,31.5403,18.9106,1341.54,3541.1,1.9508999999999999,707.912,7.97198,715.884,1.90625,2.150390625,2.39111328125,6.3973236083984375,73.3128547668457,4.6658477783203125
